Name,Rider Number,Team,H,M,S
XANDRO MEURISSE,184,ALPECIN - DECEUNINCK,3,37,3
LUKE DURBRIDGE,143,TEAM BIKEEXCHANGE-JAYCO,3,37,3
OMER GOLDSTEIN,106,ISRAEL-PREMIER TECH,3,37,3
HAROLD ALFONSO TEJADA,28,ASTANA QAZAQSTAN TEAM,3,37,3
VADIM PRONSKIY,27,ASTANA QAZAQSTAN TEAM,3,37,14
THIBAULT GUERNALEC,223,TEAM ARKEA - SAMSIC,3,37,19
ANTHONY DELAPLACE,222,TEAM ARKEA - SAMSIC,3,37,19
THIBAUT PINOT,71,GROUPAMA - FDJ,3,37,19
DARIO CATALDO,162,TREK - SEGAFREDO,3,37,35
MARK DONOVAN,155,TEAM DSM,3,38,59
FRANCISCO GALVAN FERNANDEZ,204,EQUIPO KERN PHARMA,3,39,7
HARRISON SWEENY,117,LOTTO SOUDAL,3,39,12
DRIES DEVENYNS,133,QUICK-STEP ALPHA VINYL TEAM,3,41,1
PIETER SERRY,136,QUICK-STEP ALPHA VINYL TEAM,3,41,1
ANDREA VENDRAME,18,AG2R CITROEN TEAM,3,41,1
NICOLAS PRODHOMME,16,AG2R CITROEN TEAM,3,41,1
ROBERT GESINK,4,JUMBO - VISMA,3,41,21
MICHAEL HEPBURN,146,TEAM BIKEEXCHANGE-JAYCO,3,41,21
MAXIM VAN GILS,118,LOTTO SOUDAL,3,41,21
PATRICK BEVIN,102,ISRAEL-PREMIER TECH,3,41,21
LUKASZ OWSIAN,226,TEAM ARKEA - SAMSIC,3,41,21
YEVGENIY FEDOROV,24,ASTANA QAZAQSTAN TEAM,3,41,34
ALEXEY LUTSENKO,25,ASTANA QAZAQSTAN TEAM,3,41,34
ROHAN DENNIS,3,JUMBO - VISMA,3,41,47
PAU MIQUEL DELGADO,206,EQUIPO KERN PHARMA,3,42,23
VOJTĚCH ŘEPA,208,EQUIPO KERN PHARMA,3,42,23
LOUIS VERVAEKE,138,QUICK-STEP ALPHA VINYL TEAM,3,43,2
KADEN GROVES,144,TEAM BIKEEXCHANGE-JAYCO,3,43,4
CLÉMENT RUSSO,227,TEAM ARKEA - SAMSIC,3,45,18
JAKE STEWART,78,GROUPAMA - FDJ,3,45,18
MIKE TEUNISSEN,8,JUMBO - VISMA,3,45,18
EDOARDO AFFINI,2,JUMBO - VISMA,3,45,18
KAMIL MALECKI,116,LOTTO SOUDAL,3,45,18
CHRIS FROOME,105,ISRAEL-PREMIER TECH,3,45,18
DARYL IMPEY,108,ISRAEL-PREMIER TECH,3,45,18
MATHIAS JØRGENSEN,122,MOVISTAR TEAM,3,45,18
JONAS IVERSBY HVIDEBERG,156,TEAM DSM,3,45,18
BEN TURNER,88,INEOS GRENADIERS,3,45,18
JOAN BOU COMPANY,214,EUSKALTEL-EUSKADI,3,45,18
XABIER MIKEL AZPARREN IRURZUN,212,EUSKALTEL-EUSKADI,3,45,18
LUIS GUILLERMO MAS,123,MOVISTAR TEAM,3,45,18
JARRAD DRIZNERS,115,LOTTO SOUDAL,3,45,18
KELLAND O’BRIEN,147,TEAM BIKEEXCHANGE-JAYCO,3,45,18
GREGOR MÜHLBERGER,125,MOVISTAR TEAM,3,45,18
JASHA SÜTTERLIN,36,BAHRAIN VICTORIOUS,3,45,18
JUAN SEBASTIAN MOLANO BENAVIDES,177,UAE TEAM EMIRATES,3,45,18
FABIAN LIENHARD,73,GROUPAMA - FDJ,3,45,18
ALEX KIRSCH,165,TREK - SEGAFREDO,3,45,18
MARC SOLER,171,UAE TEAM EMIRATES,3,45,18
ALESSANDRO DE MARCHI,103,ISRAEL-PREMIER TECH,3,45,23
